TIME,AGEYR,WTOT,WTOTPP,WTRT,WLRT,WLV,WWD,WPD,WPDCUM,WBNCUM,YRDD,YRAIN,YTRANS,YGPHOT,YGTOT,YLVD,YWDD,YYLDPD,YYLDBN,YHI,YHINCR,YMNBH,YMNLAI,YMNIPOD,YHARPD,YRDEFF,YRNEFF,YNLOSS,YPLOSS,YKLOSS,YEAR
   4015.00    ,  15.107    ,  46744.    ,  46.744    ,  2267.3    ,  6113.6    ,  7222.7    ,  29371.    ,  1769.4    , 1.00987E+05,  52842.    ,  6062.1    ,  1764.9    ,  491.64    ,  91273.    ,  23120.    ,  10302.    ,  804.13    ,  9090.4    ,  4756.6    , 0.12399    , 0.21983    ,  1.4616    ,  7.5863    ,  150.82    , 1.42698E+05, 0.78465    ,  2.6951    ,  99.889    ,  19.026    ,  45.188    ,  1000.0    
   4380.00    ,  16.107    ,  46649.    ,  46.649    ,  2292.1    ,  6074.6    ,  6958.2    ,  29736.    ,  1587.7    , 1.12860E+05,  59055.    ,  6062.1    ,  1817.6    ,  542.76    , 1.01243E+05,  26924.    ,  12967.    ,  987.89    ,  11874.    ,  6213.4    , 0.16231    , 0.24269    ,  1.4869    ,  8.8072    ,  150.58    , 1.86401E+05,  1.0250    ,  3.4184    ,  130.48    ,  24.853    ,  59.027    ,  1000.0    
   4745.00    ,  17.107    ,  47315.    ,  47.315    ,  2366.7    ,  6356.5    ,  6362.5    ,  30869.    ,  1360.3    , 1.21116E+05,  63375.    ,  6062.1    ,  1724.1    ,  460.87    ,  85015.    ,  21627.    ,  10690.    ,  813.06    ,  8254.9    ,  4319.4    , 0.11193    , 0.21648    ,  1.2370    ,  7.3439    ,  151.32    , 1.29582E+05, 0.71253    ,  2.5053    ,  90.708    ,  17.278    ,  41.034    ,  1000.0    
   5110.00    ,  18.107    ,  47854.    ,  47.854    ,  2366.7    ,  6416.2    ,  6803.4    ,  30804.    ,  1463.5    , 1.30995E+05,  68544.    ,  6062.1    ,  1338.1    ,  520.50    ,  92203.    ,  24103.    ,  11468.    ,  891.73    ,  9875.0    ,  5167.2    , 0.13225    , 0.22830    ,  1.4976    ,  7.9517    ,  150.56    , 1.55015E+05, 0.85238    ,  3.8615    ,  108.51    ,  20.669    ,  49.088    ,  1000.0    
   5475.00    ,  19.107    ,  48680.    ,  48.680    ,  2385.0    ,  6424.1    ,  7073.4    ,  31205.    ,  1593.0    , 1.41351E+05,  73963.    ,  6062.1    ,  1110.7    ,  534.50    ,  94345.    ,  25088.    ,  11721.    ,  897.41    ,  10362.    ,  5421.9    , 0.13598    , 0.22928    ,  1.4950    ,  8.3349    ,  150.73    , 1.62656E+05, 0.89439    ,  4.8817    ,  113.86    ,  21.687    ,  51.508    ,  1000.0    
   5840.00    ,  20.107    ,  47682.    ,  47.682    ,  2401.2    ,  6417.0    ,  6233.4    ,  31390.    ,  1240.7    , 1.52102E+05,  79589.    ,  6062.1    ,  1442.1    ,  523.91    ,  93655.    ,  24738.    ,  12705.    ,  981.76    ,  10746.    ,  5622.7    , 0.14468    , 0.24108    ,  1.4942    ,  8.6403    ,  150.72    , 1.68681E+05, 0.92752    ,  3.8990    ,  118.08    ,  22.491    ,  53.416    ,  1000.0    
   6205.00    ,  21.107    ,  49341.    ,  49.341    ,  2449.6    ,  6486.0    ,  6814.2    ,  32174.    ,  1417.2    , 1.62158E+05,  84850.    ,  6062.1    ,  1821.0    ,  504.22    ,  93973.    ,  25907.    ,  11921.    ,  919.09    ,  10054.    ,  5261.0    , 0.13021    , 0.21581    ,  1.5043    ,  8.2798    ,  150.52    , 1.57829E+05, 0.86785    ,  2.8891    ,  110.48    ,  21.044    ,  49.979    ,  1000.0    
   6570.00    ,  22.107    ,  51241.    ,  51.241    ,  2468.3    ,  6652.4    ,  7781.6    ,  32516.    ,  1822.6    , 1.74032E+05,  91064.    ,  6062.1    ,  1873.8    ,  548.84    , 1.02193E+05,  28237.    ,  12233.    ,  941.99    ,  11884.    ,  6218.4    , 0.14763    , 0.23378    ,  1.4827    ,  9.5492    ,  150.48    , 1.86551E+05,  1.0258    ,  3.3185    ,  130.59    ,  24.873    ,  59.074    ,  1000.0    
   6935.00    ,  23.107    ,  49882.    ,  49.882    ,  2490.0    ,  6577.7    ,  6738.6    ,  32803.    ,  1272.3    , 1.85311E+05,  96965.    ,  6062.1    ,  1439.0    ,  526.98    ,  96280.    ,  26111.    ,  13742.    ,  1060.7    ,  11272.    ,  5897.9    , 0.14451    , 0.23871    ,  1.4940    ,  9.2507    ,  150.65    , 1.76937E+05, 0.97292    ,  4.0985    ,  123.86    ,  23.592    ,  56.030    ,  1000.0    
   7300.00    ,  24.107    ,  49536.    ,  49.536    ,  2507.2    ,  6594.4    ,  6344.0    ,  33013.    ,  1077.6    , 1.96359E+05, 1.02746E+05,  6062.1    ,  1890.2    ,  499.20    ,  95149.    ,  25851.    ,  12830.    ,  982.29    ,  11046.    ,  5779.9    , 0.14295    , 0.23722    ,  1.4953    ,  9.1709    ,  150.49    , 1.73398E+05, 0.95346    ,  3.0579    ,  121.38    ,  23.120    ,  54.909    ,  1000.0    
   7665.00    ,  25.107    ,  50431.    ,  50.431    ,  2509.2    ,  6635.1    ,  6929.6    ,  33115.    ,  1241.6    , 2.06999E+05, 1.08314E+05,  6062.1    ,  1877.4    ,  505.14    ,  94741.    ,  26115.    ,  12358.    ,  952.71    ,  10645.    ,  5570.0    , 0.13491    , 0.22630    ,  1.4967    ,  9.0108    ,  150.55    , 1.67099E+05, 0.91882    ,  2.9668    ,  116.97    ,  22.280    ,  52.915    ,  1000.0    
   8030.00    ,  26.107    ,  52005.    ,  52.005    ,  2540.3    ,  6751.3    ,  7507.7    ,  33615.    ,  1591.5    , 2.17538E+05, 1.13828E+05,  6062.1    ,  1771.7    ,  519.09    ,  96444.    ,  27405.    ,  12876.    ,  992.08    ,  10538.    ,  5514.1    , 0.12909    , 0.21383    ,  1.4996    ,  9.0569    ,  150.45    , 1.65423E+05, 0.90961    ,  3.1123    ,  115.80    ,  22.056    ,  52.384    ,  1000.0    
   8395.00    ,  27.107    ,  52277.    ,  52.277    ,  2540.3    ,  6841.7    ,  7705.2    ,  33575.    ,  1614.7    , 2.29176E+05, 1.19918E+05,  6062.1    ,  1911.6    ,  531.17    ,  97838.    ,  27013.    ,  12781.    ,  986.27    ,  11639.    ,  6090.1    , 0.14198    , 0.23958    ,  1.4873    ,  9.6694    ,  150.57    , 1.82703E+05,  1.0046    ,  3.1858    ,  127.89    ,  24.360    ,  57.856    ,  1000.0    
   8760.00    ,  28.107    ,  51881.    ,  51.881    ,  2560.6    ,  6807.1    ,  7127.6    ,  33933.    ,  1452.2    , 2.40010E+05, 1.25587E+05,  6062.1    ,  1934.3    ,  502.12    ,  94305.    ,  26170.    ,  13332.    ,  1022.2    ,  10836.    ,  5670.1    , 0.13337    , 0.22975    ,  1.4963    ,  9.2563    ,  150.71    , 1.70104E+05, 0.93535    ,  2.9314    ,  119.07    ,  22.681    ,  53.866    ,  1000.0    
   9125.00    ,  29.107    ,  53168.    ,  53.168    ,  2600.1    ,  6928.0    ,  7471.1    ,  34579.    ,  1590.4    , 2.48611E+05, 1.30088E+05,  6062.1    ,  1335.7    ,  462.53    ,  83578.    ,  22698.    ,  10647.    ,  812.98    ,  8603.9    ,  4502.0    , 0.10316    , 0.21379    ,  1.4304    ,  7.9643    ,  151.33    , 1.35061E+05, 0.74266    ,  3.3706    ,  94.543    ,  18.008    ,  42.769    ,  1000.0    
   9490.00    ,  30.107    ,  53625.    ,  53.625    ,  2605.6    ,  6962.5    ,  7735.8    ,  34662.    ,  1659.4    , 2.60233E+05, 1.36169E+05,  6062.1    ,  1644.7    ,  546.47    ,  99686.    ,  28690.    ,  14055.    ,  1095.3    ,  11615.    ,  6077.8    , 0.13795    , 0.22407    ,  1.4972    ,  9.6994    ,  150.44    , 1.82333E+05,  1.0026    ,  3.6954    ,  127.63    ,  24.311    ,  57.739    ,  1000.0    
   9855.00    ,  31.107    ,  53197.    ,  53.197    ,  2606.1    ,  6925.6    ,  7495.6    ,  34667.    ,  1503.2    , 2.72273E+05, 1.42469E+05,  6062.1    ,  1739.1    ,  529.75    ,  98783.    ,  27684.    ,  13605.    ,  1044.9    ,  12039.    ,  6299.6    , 0.14427    , 0.24051    ,  1.4898    ,  10.056    ,  150.55    , 1.88989E+05,  1.0392    ,  3.6223    ,  132.29    ,  25.199    ,  59.847    ,  1000.0    
   10220.0    ,  32.107    ,  54043.    ,  54.043    ,  2606.1    ,  7091.9    ,  7971.6    ,  34646.    ,  1728.2    , 2.83801E+05, 1.48501E+05,  6062.1    ,  1586.6    ,  532.83    ,  98176.    ,  27964.    ,  13165.    ,  1011.7    ,  11533.    ,  6034.9    , 0.13609    , 0.22996    ,  1.4927    ,  9.7413    ,  150.62    , 1.81047E+05, 0.99552    ,  3.8036    ,  126.73    ,  24.140    ,  57.331    ,  1000.0    
   10585.0    ,  33.107    ,  52803.    ,  52.803    ,  2640.6    ,  7000.8    ,  6790.0    ,  35144.    ,  1227.4    , 2.94458E+05, 1.54077E+05,  6062.1    ,  1478.7    ,  500.48    ,  91234.    ,  25185.    ,  13380.    ,  1026.6    ,  10653.    ,  5574.3    , 0.12915    , 0.23515    ,  1.4971    ,  9.4117    ,  150.85    , 1.67229E+05, 0.91954    ,  3.7698    ,  117.06    ,  22.297    ,  52.956    ,  1000.0    
   10950.0    ,  34.107    ,  54523.    ,  54.523    ,  2650.5    ,  7058.9    ,  7826.5    ,  35371.    ,  1615.9    , 3.05503E+05, 1.59857E+05,  6062.1    ,  2487.8    ,  511.55    ,  97855.    ,  28517.    ,  13232.    ,  1024.1    ,  11046.    ,  5780.1    , 0.12898    , 0.21488    ,  1.4996    ,  9.5910    ,  150.37    , 1.73403E+05, 0.95349    ,  2.3234    ,  121.38    ,  23.120    ,  54.911    ,  1000.0    
