TIME,AGEYR,WTOT,WTOTPP,WTRT,WLRT,WLV,WWD,WPD,WPDCUM,WBNCUM,YRDD,YRAIN,YTRANS,YGPHOT,YGTOT,YLVD,YWDD,YYLDPD,YYLDBN,YHI,YHINCR,YMNBH,YMNLAI,YMNIPOD,YHARPD,YRDEFF,YRNEFF,YNLOSS,YPLOSS,YKLOSS,YEAR
   365.000    ,  5.1068    ,  31429.    ,  31.429    ,  1673.8    ,  4416.2    ,  4447.9    ,  19940.    ,  951.09    ,  8222.7    ,  4302.6    ,  6062.1    ,  2051.1    ,  480.07    ,  85655.    ,  26774.    ,  7042.6    ,  539.68    ,  8245.2    ,  4314.3    , 0.17027    , 0.17951    ,  1.5586    ,  4.7444    ,  150.98    , 1.29430E+05, 0.71170    ,  2.1034    ,  90.601    ,  17.257    ,  40.986    ,  1000.0    
   730.000    ,  6.1068    ,  35277.    ,  35.277    ,  1863.2    ,  4839.5    ,  4663.0    ,  22871.    ,  1040.6    ,  15839.    ,  8287.9    ,  6062.1    ,  1297.5    ,  464.08    ,  81681.    ,  21615.    ,  8546.0    ,  644.97    ,  7618.9    ,  3986.6    , 0.13952    , 0.19933    ,  1.4044    ,  5.2271    ,  150.66    , 1.19599E+05, 0.65764    ,  3.0725    ,  83.719    ,  15.947    ,  37.873    ,  1000.0    
   1095.00    ,  7.1068    ,  38152.    ,  38.152    ,  1971.0    ,  5177.2    ,  5199.5    ,  24634.    ,  1170.4    ,  25179.    ,  13175.    ,  6062.1    ,  1288.3    ,  506.31    ,  91214.    ,  23161.    ,  9226.8    ,  709.90    ,  9342.5    ,  4888.5    , 0.15768    , 0.22613    ,  1.4968    ,  6.3804    ,  150.55    , 1.46656E+05, 0.80641    ,  3.7946    ,  102.66    ,  19.554    ,  46.441    ,  1000.0    
   1460.00    ,  8.1068    ,  38692.    ,  38.692    ,  2022.2    ,  5281.9    ,  5107.9    ,  25399.    ,  880.18    ,  35183.    ,  18410.    ,  6062.1    ,  1467.8    ,  526.49    ,  93582.    ,  22572.    ,  10154.    ,  796.15    ,  9995.3    ,  5230.1    , 0.16663    , 0.24611    ,  1.4941    ,  6.8790    ,  150.49    , 1.56903E+05, 0.86276    ,  3.5633    ,  109.83    ,  20.920    ,  49.686    ,  1000.0    
   1825.00    ,  9.1068    ,  40997.    ,  40.997    ,  2060.9    ,  5423.4    ,  6050.6    ,  26075.    ,  1387.0    ,  44609.    ,  23342.    ,  6062.1    ,  1628.6    ,  527.52    ,  96519.    ,  24083.    ,  10473.    ,  799.51    ,  9434.4    ,  4936.6    , 0.14730    , 0.21726    ,  1.4774    ,  6.9248    ,  150.41    , 1.48098E+05, 0.81434    ,  3.0311    ,  103.67    ,  19.746    ,  46.898    ,  1000.0    
   2190.00    ,  10.107    ,  41659.    ,  41.659    ,  2084.7    ,  5561.6    ,  6149.7    ,  26467.    ,  1395.8    ,  55124.    ,  28844.    ,  6062.1    ,  1517.1    ,  542.23    ,  98341.    ,  23496.    ,  10435.    ,  801.99    ,  10517.    ,  5503.3    , 0.16180    , 0.24889    ,  1.4865    ,  7.5179    ,  150.62    , 1.65100E+05, 0.90783    ,  3.6275    ,  115.57    ,  22.013    ,  52.282    ,  1000.0    
   2555.00    ,  11.107    ,  42912.    ,  42.912    ,  2133.0    ,  5651.4    ,  6415.8    ,  27224.    ,  1488.5    ,  63047.    ,  32990.    ,  6062.1    ,  1627.3    ,  476.98    ,  87749.    ,  20555.    ,  9515.6    ,  730.59    ,  7923.6    ,  4146.1    , 0.11803    , 0.21582    ,  1.4093    ,  6.5329    ,  151.24    , 1.24382E+05, 0.68393    ,  2.5478    ,  87.067    ,  16.584    ,  39.388    ,  1000.0    
   2920.00    ,  12.107    ,  44155.    ,  44.155    ,  2183.7    ,  5780.3    ,  6610.3    ,  28041.    ,  1540.0    ,  70891.    ,  37094.    ,  6062.1    ,  1584.3    ,  469.89    ,  85870.    ,  20427.    ,  9481.2    ,  728.60    ,  7845.2    ,  4105.0    , 0.11343    , 0.21575    ,  1.3418    ,  6.4798    ,  151.35    , 1.23151E+05, 0.67717    ,  2.5910    ,  86.206    ,  16.420    ,  38.998    ,  1000.0    
   3285.00    ,  13.107    ,  45029.    ,  45.029    ,  2216.6    ,  5860.7    ,  6858.3    ,  28529.    ,  1564.2    ,  81311.    ,  42547.    ,  6062.1    ,  2542.1    ,  517.66    ,  98561.    ,  25239.    ,  11796.    ,  925.34    ,  10417.    ,  5450.6    , 0.14751    , 0.22854    ,  1.4942    ,  7.8559    ,  150.45    , 1.63517E+05, 0.89913    ,  2.1441    ,  114.46    ,  21.802    ,  51.780    ,  1000.0    
   3650.00    ,  14.107    ,  45026.    ,  45.026    ,  2255.3    ,  5948.5    ,  6362.7    ,  29121.    ,  1337.6    ,  91901.    ,  48088.    ,  6062.1    ,  1781.7    ,  521.91    ,  96463.    ,  24516.    ,  11861.    ,  898.88    ,  10589.    ,  5540.6    , 0.15047    , 0.24000    ,  1.4904    ,  8.1395    ,  150.66    , 1.66217E+05, 0.91397    ,  3.1097    ,  116.35    ,  22.162    ,  52.635    ,  1000.0    
